object_name,mean_add (%),mean_add-s (%)
master_chef_can,12.50,13.24
cracker_box,18.12,23.79
sugar_box,6.19,7.20
tomato_soup_can,3.56,7.06
mustard_bottle,16.00,20.00
tuna_fish_can,9.33,12.00
pudding_box,0.00,0.00
gelatin_box,3.08,3.08
potted_meat_can,12.56,15.69
banana,23.01,28.02
pitcher_base,30.37,35.71
bleach_cleanser,21.18,25.03
bowl,0.00,0.00
mug,12.40,17.19
power_drill,24.67,26.33
wood_block,0.00,0.00
scissor,2.67,5.33
large_marker,5.33,16.67
large_clamp,0.00,4.00
extra_large_clamp,5.33,12.67
foam_brick,0.00,0.00
